IP Address,Host Name,Name,Version,Install Date,Publisher
10.2.0.10,not-matriz-077,TOTVS Monitor,0.2.21,,TOTVS
10.2.0.10,not-matriz-077,Android Studio,2022.3,,Google LLC
10.2.0.10,not-matriz-077,BlueStacks App Player,5.14.20.1003,2023-12-21,"now.gg, Inc."
10.2.0.10,not-matriz-077,CPUID HWMonitor 1.50,1.50,2023-04-29,"CPUID, Inc."
10.2.0.10,not-matriz-077,EaseUS Data Recovery Wizard,,2024-01-24,EaseUS Data Recovery Wizard
10.2.0.10,not-matriz-077,Git,2.40.1,2023-05-30,The Git Development Community
10.2.0.10,not-matriz-077,Intel® Hardware Accelerated Execution Manager,7.6.5,,Intel Corporation
10.2.0.10,not-matriz-077,FlutterFlow version 4.1.33,4.1.33,2024-03-22,
10.2.0.10,not-matriz-077,Microsoft SQL Server 2022 (64 bits),,,Microsoft Corporation
10.2.0.10,not-matriz-077,Notepad++ (64-bit x64),8.5.2,,Notepad++ Team
10.2.0.10,not-matriz-077,Parsec Virtual USB Adapter Driver,0.2.5.0,,Parsec Cloud Inc.
10.2.0.10,not-matriz-077,pgAgent_PG15 4.2.2,4.2.2-1,2023-06-16,EnterpriseDB
10.2.0.10,not-matriz-077,rekordbox 6.7.1 64bit,6.7.1.0017,,AlphaTheta
10.2.0.10,not-matriz-077,PostgreSQL 15 ,15,2023-06-16,PostgreSQL Global Development Group
10.2.0.10,not-matriz-077,Microsoft Office Professional Plus 2016 - en-us,16.0.16327.20214,,Microsoft Corporation
10.2.0.10,not-matriz-077,Microsoft Office Professional Plus 2016 - pt-br,16.0.16327.20214,,Microsoft Corporation
10.2.0.10,not-matriz-077,WinRAR 5.91 (64-bit),5.91.0,,win.rar GmbH
10.2.0.10,not-matriz-077,XAMPP,8.2.4-0,2023-05-16,Apache Friends
10.2.0.10,not-matriz-077,ZOC Terminal 8.0 (64-bit),8.05.3,,EmTec Innovative Software
10.2.0.10,not-matriz-077,Microsoft Update Health Tools,3.74.0.0,2023-11-13,Microsoft Corporation
10.2.0.10,not-matriz-077,Verificação de integridade do PC Windows,3.6.2204.08001,2023-05-02,Microsoft Corporation
10.2.0.10,not-matriz-077,Driver do Microsoft OLE DB para SQL Server,18.6.5.0,2023-05-03,Microsoft Corporation
10.2.0.10,not-matriz-077,Oracle VM VirtualBox 7.0.8,7.0.8,2023-08-07,Oracle and/or its affiliates
10.2.0.10,not-matriz-077,DisplayLink Graphics,11.0.2412.0,2023-05-03,DisplayLink Corp.
